Tevékenység,Dátum,Pontszám:,
./City/Debrecen/Oktatás/Informatika/Programozás/DEIK/Prog1/Példák/Labor/2/PageRank/C,2018-03-11 14:45:32,3,https://github.com/tbalu/Programozas-feladatok/blob/master/pagerank.c
./City/Debrecen/Oktatás/Informatika/Programozás/DEIK/Prog1/Labor/Védés/I/jó,2018-03-14 15:01:35,5,https://github.com/tbalu/Programozas-feladatok/blob/master/z3a8(3).cpp
./City/Debrecen/Oktatás/Informatika/Programozás/DEIK/Prog1/Példák/Előadás/Bevezető/Változók cseréje/exorral,2018-03-17 13:04:14,4,https://github.com/tbalu/Programozas-feladatok/blob/master/valtozocsere.cpp
./City/Debrecen/Oktatás/Informatika/Programozás/DEIK/Prog1/Példák/Előadás/Bevezető/Változók cseréje/szorzattal,2018-03-17 13:04:42,4,https://github.com/tbalu/Programozas-feladatok/blob/master/valtozocsere.cpp
./City/Debrecen/Oktatás/Informatika/Programozás/DEIK/Prog1/Példák/Előadás/Bevezető/Változók cseréje/különbséggel,2018-03-17 13:04:56,2,https://github.com/tbalu/Programozas-feladatok/blob/master/valtozocsere.cpp
./City/Debrecen/Oktatás/Informatika/Programozás/DEIK/Prog1/Példák/Előadás/Bevezető/lex/betű-szám-szó-sor-számoló C++ változat,2018-03-17 19:10:39,7,https://github.com/tbalu/Programozas-feladatok/blob/master/szam_betu_sor_szo_szamlalo.cpp
./City/Debrecen/Oktatás/Informatika/Programozás/Tankönyv olvasás/Benedek-Levendovszky/Szoftverfejlesztés C++ nyelven,2018-03-28 20:15:55,4,
./City/Debrecen/Oktatás/Informatika/Programozás/DEIK/Prog1/Példák/Előadás/Bevezető/lex/sor-számoló,2018-03-31 14:48:52,3,https://github.com/tbalu/Programozas-feladatok/blob/master/sor_kar_szam.l
./City/Debrecen/Oktatás/Informatika/Programozás/DEIK/Prog1/Példák/Előadás/Bevezető/lex/szó-számoló,2018-03-31 14:49:10,3,https://github.com/tbalu/Programozas-feladatok/blob/master/szavak_szamok_betuk_sorok.l
./City/Debrecen/Oktatás/Informatika/Programozás/DEIK/Prog1/Példák/Előadás/Bevezető/lex/betű-számoló,2018-03-31 14:49:29,3,https://github.com/tbalu/Programozas-feladatok/blob/master/betuk_szama.l
./City/Debrecen/Oktatás/Informatika/Programozás/DEIK/Prog1/Példák/Előadás/Bevezető/lex/szám-számoló,2018-03-31 14:49:47,3,https://github.com/tbalu/Programozas-feladatok/blob/master/szamok_szama.l
./City/Debrecen/Oktatás/Informatika/Programozás/Tankönyv olvasás/Benedek-Levendovszky/Szoftverfejlesztés C++ nyelven,2018-04-01 13:50:18,4,
./City/Debrecen/Oktatás/Informatika/Programozás/Tankönyv olvasás/Stroustrup/A C++ programozási nyelv/feladatmegoldás,2018-04-01 19:52:50,5,https://github.com/tbalu/Programozas-feladatok/blob/master/Cat.cpp
./City/Debrecen/Oktatás/Informatika/Programozás/Tankönyv olvasás/Stroustrup/A C++ programozási nyelv/feladatmegoldás,2018-04-01 19:52:56,5,https://github.com/tbalu/Programozas-feladatok/blob/master/Hello.cpp
./City/Debrecen/Oktatás/Informatika/Programozás/Tankönyv olvasás/Stroustrup/A C++ programozási nyelv/feladatmegoldás,2018-04-01 19:53:04,5,https://github.com/tbalu/Programozas-feladatok/blob/master/korlatok.cpp
./City/Debrecen/Oktatás/Informatika/Programozás/Tankönyv olvasás/Benedek-Levendovszky/Szoftverfejlesztés C++ nyelven,2018-04-03 11:10:20,4,
./City/Debrecen/Oktatás/Informatika/Programozás/Tankönyv olvasás/Benedek-Levendovszky/Szoftverfejlesztés C++ nyelven/feladatmegoldás,2018-04-03 11:10:28,5,https://github.com/tbalu/Programozas-feladatok/blob/master/complex.cpp
./City/Debrecen/Oktatás/Informatika/Programozás/Tankönyv olvasás/Benedek-Levendovszky/Szoftverfejlesztés C++ nyelven/feladatmegoldás,2018-04-03 12:14:45,5,https://github.com/tbalu/Programozas-feladatok/blob/master/ember_alkalmazott.cpp
./City/Debrecen/Oktatás/Informatika/Programozás/Tankönyv olvasás/Benedek-Levendovszky/Szoftverfejlesztés C++ nyelven/feladatmegoldás,2018-04-03 16:26:33,5,https://github.com/tbalu/Programozas-feladatok/blob/master/Fifo.cpp
./City/Debrecen/Oktatás/Informatika/Programozás/Tankönyv olvasás/Benedek-Levendovszky/Szoftverfejlesztés C++ nyelven/feladatmegoldás,2018-04-05 19:22:41,5,https://github.com/tbalu/Programozas-feladatok/blob/master/Fifony.cpp
./City/Debrecen/Oktatás/Informatika/Programozás/Tankönyv olvasás/Stroustrup/A C++ programozási nyelv/feladatmegoldás,2018-04-05 20:04:35,5,https://github.com/tbalu/Programozas-feladatok/blob/master/valtozo_meretek.cpp
./City/Debrecen/Oktatás/Informatika/Programozás/DEIK/Prog1/Labor/Védés/II/jó,2018-04-11 15:37:45,5,https://github.com/tbalu/Programozas-feladatok/blob/master/mlpor.hpp https://github.com/tbalu/Programozas-feladatok/blob/master/mainor.cpp
./City/Debrecen/Oktatás/Informatika/Programozás/DEIK/Prog1/Labor/Védés/III/jó,2018-04-25 15:37:45,5,https://github.com/tbalu/Programozas-feladatok/blob/master/Fenykard.cpp
Összpontszám:,,99,
